"p","eA","eL","ed","eD","kA","kL","kd","kD"
0,0.242471667609515,0.546770681584703,1.31977261776186,1.10799137920506,28.0422902158396,28.5635760081292,33.0592177118495,33.4743578121337
0.01,0.242471667609515,0.548895413914898,1.41798246769084,1.24285989448903,28.0541400747447,28.5797379694877,33.070612894949,34.2108568808973
0.02,0.242471667609515,0.551047326219606,1.51744477237601,1.23292844250734,28.0690781590159,28.600443321536,33.0825924464125,34.0929908349089
0.03,0.242651146136615,0.551954459371456,1.55875270650161,1.18855890710133,28.0775064445647,28.6118846552553,33.0898970509634,33.968611005642
0.04,0.242651146136615,0.552987158183584,1.6064819281161,1.22298546573177,28.0876192606929,28.6266314823927,33.0966172871503,34.1631898251902
0.05,0.242651146136615,0.554009895471694,1.65375014529643,1.27580746223086,28.0967569133252,28.6392149937911,33.1050906284293,34.5382259014128
0.06,0.242651146136615,0.554659839336486,1.68378846270119,1.41048338686763,28.1057954921105,28.6517317844564,33.1080124702497,34.9689452139575
0.07,0.242651146136615,0.555291035886648,1.71296277820388,1.42357620584401,28.1136758570058,28.6627629910369,33.1132717855264,35.0740880391163
0.08,0.24274944680976,0.5555218126373,1.72662430012733,1.4787039947821,28.1184891982857,28.6697184156081,33.1141483380725,35.3680222821472
0.09,0.24274944680976,0.555978526596172,1.74773251884694,1.40065224013491,28.1220146326292,28.6748649655663,33.1147327064366,34.9789655168373
0.1,0.24310840386396,0.556467822320537,1.77508627754593,1.55193234684326,28.1326310785023,28.6905908417357,33.1191154691671,35.531074013217
0.11,0.243206704537105,0.557216196005518,1.81341649132382,1.6377676011706,28.1427643572267,28.7049911270987,33.1252513369899,36.1699544998953
0.12,0.243206704537105,0.557644732073976,1.83321868697196,1.59271752579529,28.1491838254228,28.7135681535303,33.126420073718,35.9908692514916
0.13,0.243114372003313,0.558011391360974,1.87013970135805,1.56910380505152,28.1565594804062,28.7244275437843,33.1308028364486,35.9077376844316
0.14,0.243114372003313,0.558754659928582,1.90903893074699,1.65134960469643,28.165036934026,28.7371046559419,33.1319715731767,36.4709385201191
0.15,0.243180985100352,0.559392432548477,1.94918694018239,1.68890265446656,28.1805120725638,28.7590179240533,33.1389839935456,36.6350250216614
0.16,0.243180985100352,0.559785603440574,1.96689915634395,1.73835046443374,28.1885473106848,28.7704245126242,33.1410292828199,36.9093231084324
0.17,0.243180985100352,0.560287492118628,1.99004647736465,1.52766134994402,28.195678720523,28.7808541100805,33.1430745720941,36.2105767109887
0.18,0.243180985100352,0.560603841869472,2.00548310464822,1.63205654124415,28.2008590789884,28.7886384442751,33.1459964139145,36.5566861779068
0.19,0.243180985100352,0.560925378294023,2.02080216747424,1.7016157608421,28.2088682206044,28.800066064821,33.1489182557349,36.7700740115893
0.2,0.243180985100352,0.560915152197824,2.02032958548192,1.75006308351341,28.2123848915683,28.8050899687396,33.1483338873708,36.8970258770222
0.21,0.243180985100352,0.561026566639915,2.02547813330821,1.74335087470122,28.2219561503592,28.8174349050196,33.1471651506427,36.8328583736305
0.22,0.243180985100352,0.561253732424587,2.03597598596039,1.77864848785725,28.2277693460718,28.825606028314,33.1474573348247,36.9259674992566
