"p","eA","eL","ed","eD","kA","kL","kd","kD"
0,0.242292189082415,0.545283152838784,1.25162916738782,0.699842839886239,28.0370658961205,28.5563661229281,33.0542505807549,31.3956542920082
0.01,0.242350290686575,0.547672389148484,1.36264926801394,1.13468293547425,28.047855679032,28.5711045030697,33.0645325710499,33.6287354638952
0.02,0.242435854775573,0.550878370280212,1.51225808114522,1.18573169526701,28.0690782684804,28.6003325077383,33.0819575967219,34.0668319534443
0.03,0.242526686593782,0.554163324629835,1.66923723085808,1.33407123855754,28.1000622592807,28.6433065934061,33.1024820890537,34.9334334708209
0.04,0.2426057518744,0.557029136116813,1.80926430802781,1.57208456305089,28.136722483611,28.6946762661753,33.1206100925102,35.9665976148242
0.05,0.242717851292861,0.559597442503001,1.93950270753706,1.66653126243409,28.1823687303007,28.7591072322716,33.1367549480235,36.4310403877329
0.06,0.242963301810967,0.561653671847091,2.0521019537755,1.72322523778583,28.2305472694368,28.8274435276342,33.148635425544,36.8041182336904
0.07,0.243169043802781,0.563073217610307,2.14675249736723,1.75577901476936,28.2810737133419,28.9007312847141,33.1569374862057,36.9782216985934
0.08,0.243174642680541,0.56407275972364,2.21741780025844,1.76306090160551,28.3305073537081,28.9735076250791,33.1607917205457,37.1127956812575
0.09,0.243256667865685,0.564522629018925,2.28051544952951,1.78145340746824,28.3771330183174,29.0440450482729,33.1636640502167,37.2797624492704
0.1,0.243287965408713,0.564561705560286,2.33518367456355,1.8027439601232,28.4202813656739,29.111622476009,33.1674733778194,37.4123193512184
0.11,0.243298288143552,0.564536516207277,2.38603769176071,1.8387637899524,28.4596588430697,29.1748127946885,33.1691022247266,37.5986666059036
0.12,0.24329414087371,0.563703371104518,2.42963271864809,1.86609434520587,28.4899178787611,29.2254075041532,33.1693523417911,37.6829400567419
0.13,0.243406527777801,0.562481421472428,2.46640005294848,1.84554019536571,28.5113844829661,29.2660290986419,33.1720644594714,37.6487514172488
0.14,0.243488439948781,0.561159177398812,2.49528728081448,1.8442860101012,28.5285158304425,29.3008811008172,33.171090102139,37.6017593931983
0.15,0.243502909871276,0.559439986815235,2.51971622592355,1.8272641832753,28.5431027141596,29.3328195550861,33.1737751359672,37.5217967389916
0.16,0.243435764123306,0.557406444367691,2.53579124501471,1.81602544585133,28.5505914163462,29.3538185397051,33.1759292767459,37.4517734106613
0.17,0.243351154076978,0.555285877730151,2.55269076251168,1.81000815704731,28.55322088787,29.3673504745487,33.1731466786428,37.3586866918671
0.18,0.243254296941081,0.552448472281561,2.55801018125768,1.79901405723804,28.5515694211382,29.3747318063776,33.1829257962574,37.2681340966337
0.19,0.243122058865207,0.548373963625681,2.56600470280746,1.77726797987297,28.5386928642212,29.3625513793932,33.1924633771402,37.1150576154737
0.2,0.242943094820392,0.545097928082625,2.57049931271825,1.76290258553599,28.5287460614549,29.3542283304909,33.1951196586504,36.9445994067549
