"p","eA","eL","ed","eD","kA","kL","kd","kD"
0,0.0765189534075823,0.174554562706772,0.512199582228737,0.438630013004903,0.0575526926592154,0.0956785756773181,0.411816962984457,0.522527917647395
0.05,0.0765725109962107,0.175785641791487,0.572940370857991,0.541038900864961,0.0609761446004867,0.100445629293184,0.413494825868775,0.617293317720131
0.1,0.0766055635330247,0.176624109123878,0.614895599590498,0.564889118414909,0.0640951733845633,0.104916809562428,0.414875139593651,0.656439525294948
0.15,0.0766396644115648,0.177136866786718,0.641769763035904,0.57388472203104,0.0668619823453789,0.108907896711465,0.415437661234739,0.673709877841596
0.2,0.0766437483307894,0.177574410832075,0.665214430422659,0.57920657814698,0.0696026534468903,0.11282466919996,0.415738262723946,0.679211409184836
0.25,0.0767024061270046,0.177826674289716,0.682272499860337,0.577461276980415,0.0719074351102618,0.116154487934454,0.415631788656398,0.684463351880597
0.3,0.0767124398385465,0.177981968293782,0.695842248493637,0.582914249796295,0.0737295704277243,0.118901843511367,0.41629451140603,0.692213455377349
0.35,0.0767311247582725,0.178023546853407,0.706636076944,0.574440415879171,0.075483133339071,0.121499332575502,0.417090630055206,0.690615303994988
0.4,0.0767640365878521,0.178089130938056,0.714933214481124,0.574244703821135,0.0770015402369841,0.123908369495548,0.416721558046827,0.683304382553763
0.45,0.0767782581568088,0.17813235337448,0.723254082900916,0.576317177942472,0.0786142028180484,0.126448116131374,0.416596632177256,0.693823562976948
0.5,0.0767894676923293,0.178211819987854,0.730215087288421,0.580784462125679,0.0799151207554396,0.128476346464489,0.416166994506437,0.698636645977372
0.55,0.0767930851324479,0.178201284628487,0.734793833414996,0.568064646873536,0.0812632185711591,0.130626360701987,0.416960453885642,0.695566467235583
0.6,0.0767898725730964,0.178221084371867,0.740240692829306,0.564741702834708,0.0824074043433844,0.132462404892299,0.416764906940799,0.691165039622376
0.65,0.0768009463361949,0.178216857005299,0.743935014427328,0.56336303533342,0.083334591004997,0.13400160631525,0.417752184323502,0.679830740113035
0.7,0.0768165723716416,0.178189028558548,0.746844074300016,0.561891284027107,0.0841909009792453,0.135474573657844,0.417216803575217,0.681360555536822
0.75,0.0768276316222464,0.178118343755351,0.749709580648518,0.550457287631206,0.0850430905601118,0.13702363942305,0.41711644928662,0.673502480995914
0.8,0.0768449204165972,0.178013547121302,0.751797922281213,0.537640635335514,0.0856682179341617,0.138179727211463,0.417701081550721,0.658238050917374
0.85,0.0768387402672159,0.177945848415286,0.753472113144081,0.5337208345276,0.0862955666992674,0.139395949767037,0.417423036902608,0.645881039164403
0.9,0.0768407459349475,0.1779064163465,0.754592305219265,0.525268459603429,0.0867951912017722,0.140409987443761,0.417477824543434,0.636645441155831
0.95,0.0768393311044448,0.177861397889429,0.755874950096844,0.516703752466249,0.0872306934777195,0.141191700527995,0.41778785442702,0.63230844628257
1,0.0768448910126735,0.177848679734847,0.756636322129253,0.51897979104023,0.087586086224945,0.142046635285401,0.417356678959633,0.628161523287567
